"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton",23,0,11,1,0,0,0,9,0,0,0,0,0,0
"Blob",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClassDataShouldBePrivate",11,0,0,2,0,0,0,8,0,0,0,0,0,0
"ComplexClass",1,0,2,0,0,0,0,12,0,0,0,0,0,0
"LargeClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LazyClass",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LongMethod",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LongParameterList",9,0,8,12,0,0,0,0,0,0,0,0,0,0
"MessageChains",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,0,0,0,0,0
